Group,Date,Sent,Clicked
1,NA,50,1
1,Oct  2 2017,50,2
1,Oct  3 2017,50,4
1,NA,50,5
1,Oct  5 2017,50,1
1,Oct  6 2017,50,3
1,NA,50,2
1,NA,50,1
1,Oct  9 2017,50,2
1,NA,50,2
1,Oct 11 2017,50,2
1,NA,50,6
1,Oct 13 2017,50,4
1,Oct 14 2017,50,1
1,NA,50,1
1,NA,50,1
1,NA,50,3
1,NA,50,3
1,Oct 19 2017,50,2
1,Oct 20 2017,50,1
1,NA,50,4
1,Oct 22 2017,50,2
1,Oct 23 2017,50,3
1,NA,50,2
1,Oct 25 2017,50,1
1,Oct 26 2017,50,3
1,Oct 27 2017,50,3
1,Oct 28 2017,50,1
1,Oct 29 2017,50,2
1,Oct 30 2017,50,0
1,Oct 31 2017,50,4
2,Oct  1 2017,50,0
2,NA,50,2
2,Oct  3 2017,50,2
2,NA,50,4
2,Oct  5 2017,50,2
2,Oct  6 2017,50,2
2,NA,50,3
2,Oct  8 2017,50,2
2,Oct  9 2017,50,4
2,NA,50,4
2,Oct 11 2017,50,3
2,Oct 12 2017,50,5
2,Oct 13 2017,50,5
2,NA,50,3
2,NA,50,2
2,NA,50,4
2,NA,50,3
2,Oct 18 2017,50,0
2,Oct 19 2017,50,6
2,NA,50,1
2,NA,50,2
2,NA,50,2
2,NA,50,3
2,NA,50,1
2,Oct 25 2017,50,2
2,Oct 26 2017,50,2
2,NA,50,4
2,Oct 28 2017,50,2
2,Oct 29 2017,50,0
2,Oct 30 2017,50,3
2,NA,50,3
3,NA,50,2
3,NA,50,2
3,NA,50,7
3,Oct  4 2017,50,2
3,NA,50,2
3,NA,50,0
3,Oct  7 2017,50,6
3,NA,50,1
3,NA,50,2
3,Oct 10 2017,50,2
3,Oct 11 2017,50,4
3,Oct 12 2017,50,2
3,Oct 13 2017,50,5
3,NA,50,2
3,Oct 15 2017,50,4
3,NA,50,1
3,NA,50,4
3,Oct 18 2017,50,5
3,Oct 19 2017,50,4
3,NA,50,0
3,NA,50,1
3,NA,50,2
3,Oct 23 2017,50,5
3,NA,50,1
3,NA,50,5
3,Oct 26 2017,50,4
3,NA,50,1
3,Oct 28 2017,50,0
3,NA,50,3
3,NA,50,1
3,Oct 31 2017,50,3
4,Oct  1 2017,50,2
4,Oct  2 2017,50,1
4,Oct  3 2017,50,1
4,Oct  4 2017,50,3
4,Oct  5 2017,50,1
4,NA,50,5
4,Oct  7 2017,50,2
4,Oct  8 2017,50,1
4,Oct  9 2017,50,2
4,Oct 10 2017,50,3
4,NA,50,4
4,NA,50,2
4,NA,50,3
4,NA,50,2
4,NA,50,3
4,NA,50,3
4,NA,50,4
4,NA,50,5
4,NA,50,3
4,NA,50,1
4,Oct 21 2017,50,7
4,NA,50,1
4,NA,50,3
4,NA,50,5
4,NA,50,2
4,Oct 26 2017,50,2
4,Oct 27 2017,50,4
4,Oct 28 2017,50,3
4,Oct 29 2017,50,4
4,Oct 30 2017,50,2
4,NA,50,3
