Rate,Calc
1.247,105
1.392,73
1.26,21
1.259,133
1.236,101
1.627,53
1.581,14
1.609,18
1.755,12
1.723,44
1.569,91
1.704,26
1.696,6
1.987,8
1.557,13
1.378,71
1.466,5
1.307,78
1.096,138
1.175,107
1.369,68
1.486,122
1.625,13
1.558,10
1.491,20
1.379,94
1.591,16
1.702,44
1.711,13
1.495,14
1.64,57
1.299,78
1.254,96
1.402,37
1.486,5
1.257,50
1.485,81
1.668,17
1.807,15
1.555,39
1.742,8
1.772,15
1.427,27
1.444,14
1.587,75
1.709,71
1.359,84
1.318,122
1.309,59
1.456,90
1.527,60
1.519,21
1.8,14
1.637,10
1.428,39
1.574,9
1.828,8
1.724,6
1.591,49
1.713,71
1.625,20
